Date,United Kingdom
Jan 2010,2.901549309630565
Feb 2010,2.9126118687600937
Mar 2010,2.9246825302286488
Apr 2010,2.942995927245367
May 2010,2.9490935182753577
Jun 2010,2.9712815072200036
Jul 2010,2.9751381574904405
Aug 2010,2.977827043478284
Sep 2010,2.981550986929898
Oct 2010,2.964388143684039
Nov 2010,2.949602422040385
Dec 2010,2.9394463813232656
Jan 2011,2.92113700484304
Feb 2011,2.910916394722043
Mar 2011,2.911830185548592
Apr 2011,2.924454871080644
May 2011,2.9242218196784813
Jun 2011,2.9320509126246574
Jul 2011,2.940711693065382
Aug 2011,2.944531009644681
Sep 2011,2.9374235318887165
Oct 2011,2.9302561960548297
Nov 2011,2.9311099976982966
Dec 2011,2.9315360355033033
Jan 2012,2.9220922285953423
Feb 2012,2.9172122635308235
Mar 2012,2.9185849126891257
Apr 2012,2.950017766833984
May 2012,2.9602721457926937
Jun 2012,2.9758395867504133
Jul 2012,2.973362715927914
Aug 2012,2.9825471246220725
Sep 2012,2.978759257178764
Oct 2012,2.9679780498530306
Nov 2012,2.9723601391158816
Dec 2012,2.978122377066434
Jan 2013,2.9665411186486343
Feb 2013,2.9706616115368942
Mar 2013,2.9769332357794402
Apr 2013,2.9986132471845695
May 2013,3.0101318390836727
Jun 2013,3.033692316586358
Jul 2013,3.044927224513908
Aug 2013,3.0599724550094844
Sep 2013,3.0808015806843563
Oct 2013,3.0865082598019
Nov 2013,3.0967586299280767
Dec 2013,3.124272276357526
Jan 2014,3.1271558019311834
Feb 2014,3.1412356355597275
Mar 2014,3.1586855247305174
Apr 2014,3.1977618653660134
May 2014,3.2237042237581695
Jun 2014,3.251086042551877
Jul 2014,3.2825821385609997
Aug 2014,3.31210602861672
Sep 2014,3.3214423962454007
Oct 2014,3.319796349422478
Nov 2014,3.326800567064503
Dec 2014,3.3385779343856226
Jan 2015,3.3447462512439934
Feb 2015,3.3479594803343473
Mar 2015,3.3501531398930675
Apr 2015,3.382114488925953
May 2015,3.3926549926680427
Jun 2015,3.4254418769754915
Jul 2015,3.4556906722744225
Aug 2015,3.4831233563302257
Sep 2015,3.5029086276305152
Oct 2015,3.5114977515314667
Nov 2015,3.5209779984936405
Dec 2015,3.5381968821445775
Jan 2016,3.5640044067579746
Feb 2016,3.5745531896376135
Mar 2016,3.59673306669031
Apr 2016,3.601297250542845
May 2016,3.6395894795541714
Jun 2016,3.664151951010532
Jul 2016,3.695809682866216
Aug 2016,3.705458779537647
Sep 2016,3.7092498761656145
Oct 2016,3.7016321736359914
Nov 2016,3.703435426526476
Dec 2016,3.717789909422081
Jan 2017,3.7401190312450767
Feb 2017,3.7379085577501896
Mar 2017,3.738363510292192
Apr 2017,3.774471715959863
May 2017,3.79586666528696
Jun 2017,3.8095972548250887
Jul 2017,3.847219666713298
Aug 2017,3.8774415691664847
Sep 2017,3.8671619298898268
Oct 2017,3.8694556621241896
Nov 2017,3.8696154081622067
Dec 2017,3.8780984487808663
Jan 2018,3.8884923985735185
Feb 2018,3.8850281151960138
Mar 2018,3.8841624192581437
Apr 2018,3.8985668165594127
May 2018,3.920938480410918
Jun 2018,3.9394106676948493
Jul 2018,3.9733067027870326
Aug 2018,3.9874702955865833
Sep 2018,3.9891527960812754
Oct 2018,3.9723172974368897
Nov 2018,3.9798942984492514
Dec 2018,3.9689263100250165
Jan 2019,3.9643091626427696
Feb 2019,3.950959450726702
Mar 2019,3.945351594236386
Apr 2019,3.96540943797387
May 2019,3.979334553176318
Jun 2019,3.994433286376092
Jul 2019,4.027411068451635
Aug 2019,4.048787727626354
Sep 2019,4.048795111773373
Oct 2019,4.047245241050093
Nov 2019,4.044261180482346
Dec 2019,4.040964420458853
Jan 2020,4.041562849543205
Feb 2020,4.0519335857068945
Mar 2020,4.069900881513546
Apr 2020,4.053820552976368
May 2020,4.071377722373079
Jun 2020,4.096374207382734
Jul 2020,4.124855489790454
Aug 2020,4.152539066823133
Sep 2020,4.181926841187363
Oct 2020,4.2183807771040875
Nov 2020,4.272314087192386
Dec 2020,4.3704081194428115
