Date,urban,urban2,rural
Dec 2005,2.7179813781910176,2.780230336937214,2.8306485984884207
Jan 2006,2.6967776130285466,2.7673401935014486,2.819144992806706
Feb 2006,2.7210675860457605,2.787909519146585,2.8396760597285513
Mar 2006,2.746607431706067,2.8102481380597615,2.8604681356439743
Apr 2006,2.764899886795387,2.8299434122186153,2.8848827024183143
May 2006,2.7904403898034333,2.848057658385521,2.9094785521573328
Jun 2006,2.820387773793749,2.8820964162266374,2.9368433732835646
Jul 2006,2.819458711012345,2.884148657678312,2.939073209971942
Aug 2006,2.83663627990829,2.9002648051203446,2.959289223221846
Sep 2006,2.865992209485061,2.921850888837375,2.988552789547254
Oct 2006,2.884694307600554,2.9388969900877293,3.0021227063474063
Nov 2006,2.912028582828852,2.9634772453846008,3.0306723629352375
Dec 2006,2.9491031125267866,2.9955085393207845,3.0592769018278827
Jan 2007,2.93246976350966,2.9817676755882805,3.0603404668630776
Feb 2007,2.9601428091929805,3.005318414602083,3.0664060941214406
Mar 2007,2.9943244690542428,3.028655551758204,3.1004018272650318
Apr 2007,3.026568476359293,3.0454458712720553,3.1249536527604387
May 2007,3.048240913322748,3.081376791236143,3.144593648065366
Jun 2007,3.082849768618564,3.105326468495148,3.181188427000702
Jul 2007,3.0914486471695275,3.114507236566802,3.1889357554248923
Aug 2007,3.1155062796949022,3.1281926889388894,3.2046478947592134
Sep 2007,3.1264679716104418,3.146992962572585,3.218553189592929
Oct 2007,3.13465269725463,3.1483026890366466,3.2263924133942172
Nov 2007,3.144662952418897,3.151622274150852,3.2372738277507813
Dec 2007,3.159187715470212,3.1533221899671644,3.236262681814671
Jan 2008,3.1214689327942846,3.119401128739778,3.202636489761866
Feb 2008,3.1267831931859438,3.116838761005218,3.202782950607092
Mar 2008,3.1126296785665954,3.107570708937987,3.180000038293182
Apr 2008,3.117131042461121,3.1038965515385954,3.1962024554874326
May 2008,3.128188855782942,3.112869404388708,3.1835961007813496
Jun 2008,3.1115422111202973,3.0799767074956512,3.1499638422200804
Jul 2008,3.0605328131452723,3.030793958865368,3.1159532684811566
Aug 2008,3.012411477059563,2.986910464431928,3.0712825283762304
Sep 2008,2.969336310032775,2.939558601274086,3.0070044759420704
Oct 2008,2.9123610409885647,2.8682134716896486,2.9647992109768655
Nov 2008,2.8610868337437627,2.8337071765226085,2.9098106295104826
Dec 2008,2.8247640733156376,2.786288578838622,2.8645800560859227
Jan 2009,2.7755765035600346,2.7414499392780347,2.8346823683803457
Feb 2009,2.760096656013,2.699414340564061,2.8067914294249907
Mar 2009,2.743965968730903,2.704760040992575,2.7863019444704764
Apr 2009,2.7370944209065717,2.7022537192184046,2.802651492005907
May 2009,2.754045386637954,2.7218805745824604,2.820200611985863
Jun 2009,2.7663167395907853,2.744586293827908,2.830802389271434
Jul 2009,2.788703469222252,2.753710948719582,2.862418016594677
Aug 2009,2.8063458212022097,2.784217847263607,2.884937341665566
Sep 2009,2.8421784082620536,2.805008509593005,2.900771242310011
Oct 2009,2.8613635000415756,2.8301509567457424,2.9214397419627933
Nov 2009,2.881553056215561,2.84132592277133,2.953273567018516
Dec 2009,2.9020850233383952,2.8671867182744815,2.9619755395794525
Jan 2010,2.9064564216470767,2.8742436825374877,2.9673613055274624
Feb 2010,2.92711845553554,2.879204582258823,2.9614335843998267
Mar 2010,2.9326459161988048,2.878310770289095,2.9945379309167697
Apr 2010,2.9496967888634984,2.9080912588933767,3.004272184976084
May 2010,2.954136809541333,2.9152100568348,3.018832758178099
Jun 2010,2.9769227848791666,2.931116739898511,3.0380528714829858
Jul 2010,2.98297537764247,2.944012870725552,3.036333028497633
Aug 2010,2.987215259606501,2.9428861948589673,3.039852573563576
Sep 2010,2.9921301204190636,2.9454093808453896,3.0386760068655048
Oct 2010,2.9728951860316903,2.9306238592756606,3.0224907608355123
Nov 2010,2.957767729497509,2.9108904296256024,3.0207386294618104
Dec 2010,2.9491034417949544,2.906585067685635,2.9966018701001493
Jan 2011,2.9345957509730756,2.878409795445735,2.978586623363154
Feb 2011,2.9229889445326567,2.8749717179719694,2.9661972085900468
Mar 2011,2.9235125095678045,2.8629939086500977,2.9756284956235484
Apr 2011,2.9390198952927626,2.879909870907922,2.981941823161887
May 2011,2.936217257109303,2.889801221851616,2.9796301082549985
Jun 2011,2.9463419411205534,2.893120630887252,2.986631002569708
Jul 2011,2.958061173372772,2.8976639666006063,2.995308033956034
Aug 2011,2.9641635869855465,2.894154102172547,2.9965356257707505
Sep 2011,2.9568410565489596,2.8882270403549972,2.9887251976424105
Oct 2011,2.9477259043999746,2.8844257739740056,2.9858159278287832
Nov 2011,2.9490731304222404,2.893423652187448,2.979463961295806
Dec 2011,2.9516866691612402,2.890474902800318,2.9765288770170306
Jan 2012,2.9488123777035318,2.8699364833098344,2.9655235469025683
Feb 2012,2.9397821956278154,2.872262583784751,2.96105137562824
Mar 2012,2.9383347144369636,2.8794532090078366,2.96858617000985
Apr 2012,2.9800427474246844,2.8933624306383017,2.985091661286202
May 2012,2.99144719801726,2.9078751948122714,2.995640079104358
Jun 2012,3.0063138968123138,2.933613800314905,3.0040726457962386
Jul 2012,3.0089257465926686,2.9215048660018996,2.999620101165956
Aug 2012,3.0195719926727334,2.9319123708137727,3.01080104492412
Sep 2012,3.0136148911051106,2.922346640937448,3.00815512326355
Oct 2012,3.001210163318314,2.919596970524692,2.9961101775581844
Nov 2012,3.007195913240494,2.923031199881393,2.9993499922795404
Dec 2012,3.016201477203298,2.9216726126132233,3.003012407534959
Jan 2013,3.0018243218467924,2.919683743198977,2.9866116257371766
Feb 2013,3.008165104151444,2.9244240510004453,2.9851279679507283
Mar 2013,3.0144382605501043,2.9277084622702105,2.9999087776998095
Apr 2013,3.038701592596327,2.9519282535266775,3.013237558699451
May 2013,3.055084054976536,2.954406576030639,3.0267159396726915
Jun 2013,3.0813885440831164,2.9830478474551154,3.0386912354524314
Jul 2013,3.0952210672606637,2.98666096519426,3.0561371979256613
Aug 2013,3.111529821661268,3.007759854137213,3.063131133422965
Sep 2013,3.1403107526762395,3.013415102398268,3.079880159052722
Oct 2013,3.1388119964347396,3.0282649730676385,3.0910771483980666
Nov 2013,3.154774082776251,3.034818219565195,3.0968785975976862
Dec 2013,3.1821866515790673,3.0621423576847873,3.1279582095407457
